Time , PM , Status , Running
2014-05-11 11:43:09 , 122 , 1 , 1819
2014-05-11 11:43:24 , 84 , 1 , 1834
2014-05-11 11:43:40 , 88 , 1 , 1850
2014-05-11 11:43:55 , 93 , 1 , 1866
2014-05-11 11:44:11 , 66 , 1 , 1882
2014-05-11 11:44:27 , 124 , 1 , 1897
2014-05-11 11:44:42 , 80 , 1 , 1913
2014-05-11 11:44:58 , 103 , 1 , 1929
2014-05-11 11:45:14 , 88 , 1 , 1944
2014-05-11 11:45:29 , 86 , 1 , 1959
2014-05-11 11:45:44 , 90 , 1 , 1975
2014-05-11 11:46:01 , 115 , 1 , 1991
2014-05-11 11:46:17 , 77 , 1 , 2007
2014-05-11 11:46:32 , 86 , 1 , 2023
2014-05-11 11:46:48 , 74 , 1 , 2038
2014-05-11 11:47:03 , 82 , 1 , 2053
2014-05-11 11:47:19 , 55 , 1 , 2069
2014-05-11 11:47:34 , 53 , 1 , 2084
2014-05-11 11:47:49 , 74 , 1 , 2100
2014-05-11 11:48:06 , 55 , 1 , 2116
2014-05-11 11:48:21 , 68 , 1 , 2131
2014-05-11 11:48:37 , 62 , 1 , 2147
2014-05-11 11:48:52 , 73 , 1 , 2162
2014-05-11 11:49:07 , 54 , 1 , 2178
2014-05-11 11:49:23 , 80 , 1 , 2193
2014-05-11 11:49:38 , 43 , 1 , 2208
2014-05-11 11:49:54 , 82 , 1 , 2224
2014-05-11 11:50:09 , 55 , 1 , 2239
2014-05-11 11:50:24 , 49 , 1 , 2255
2014-05-11 11:50:40 , 39 , 1 , 2270
2014-05-10 20:12:33 , 19 , 0 , 0
2014-05-11 16:08:15 , 17 , 0 , 0
2014-05-11 16:08:31 , 14 , 0 , 0
2014-05-11 16:08:47 , 11 , 0 , 0
2014-05-11 16:09:03 , 9 , 0 , 0
2014-05-11 16:09:19 , 13 , 0 , 0
2014-05-11 16:09:35 , 8 , 0 , 0
2014-05-11 16:09:50 , 10 , 0 , 0
2014-05-11 16:10:05 , 7 , 0 , 0
2014-05-11 16:10:21 , 7 , 0 , 0
2014-05-11 16:10:36 , 12 , 0 , 0
2014-05-11 16:10:52 , 9 , 0 , 0
2014-05-11 16:11:07 , 20 , 0 , 0
2014-05-11 16:11:22 , 10 , 0 , 0
2014-05-11 16:11:38 , 9 , 0 , 0
2014-05-11 16:11:54 , 8 , 0 , 0
2014-05-11 16:12:09 , 5 , 0 , 0
2014-05-11 16:12:25 , 12 , 0 , 0
2014-05-11 16:12:40 , 6 , 0 , 0
2014-05-11 16:12:56 , 13 , 0 , 0
2014-05-11 16:13:12 , 4 , 0 , 0
2014-05-11 16:13:27 , 3 , 0 , 0
2014-05-11 16:13:44 , 12 , 0 , 0
2014-05-11 16:13:59 , 7 , 0 , 0
2014-05-11 16:14:15 , 5 , 0 , 0
2014-05-11 16:14:31 , 13 , 0 , 0
2014-05-11 16:14:46 , 7 , 0 , 0
2014-05-11 16:15:02 , 8 , 0 , 0
2014-05-11 16:15:17 , 2 , 0 , 0
2014-05-11 16:15:34 , 10 , 0 , 0
2014-05-11 16:15:49 , 6 , 0 , 0
2014-05-11 16:16:04 , 6 , 0 , 0
2014-05-11 16:16:21 , 9 , 0 , 0
2014-05-11 16:16:37 , 11 , 0 , 0
2014-05-11 16:16:53 , 9 , 0 , 0
2014-05-11 16:17:09 , 3 , 0 , 0
2014-05-11 16:17:25 , 7 , 0 , 0
2014-05-11 16:17:40 , 11 , 0 , 0
2014-05-11 16:17:56 , 10 , 0 , 0
2014-05-11 16:18:12 , 13 , 0 , 0
2014-05-11 16:18:28 , 9 , 0 , 0
2014-05-11 16:18:43 , 7 , 0 , 0
2014-05-11 16:18:59 , 4 , 0 , 0
2014-05-11 16:19:14 , 7 , 0 , 0
2014-05-11 16:19:30 , 18 , 0 , 0
2014-05-11 16:19:46 , 14 , 0 , 0
2014-05-11 16:20:01 , 7 , 0 , 0
2014-05-11 16:20:17 , 8 , 0 , 0
2014-05-11 16:20:32 , 8 , 0 , 0
2014-05-11 16:20:48 , 9 , 0 , 0
